src_file,stamp,gpu,sm_count,clock_ghz,round,shape,M,N,K,kernel,iters,ms,gflops,pct_peak,ai,roofline_gflops,roofline_pct,load_per_fma,dist,bcast,ldg,req_per_fma,beat,cyc_per_load,model_pred,model_note,regs,barriers,smem_bytes,spill_bytes,occ_pct,blocks_per_sm,threads_per_block,block_x,block_y,grid_x,grid_y,footprint_mb,verified
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,2048,2048,2048,k0,11,0.324,53087.2,64.29,,,,,,,,,,,,,,,,,,,,,,,,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,2048,2048,2048,k1,11,26.516,647.9,0.78,0.25,252.0,257.1,2.0,0.0,0.0,2.0,33.0,31.86,15.93,3.78,,40,0,0,0,66.7,1,1024,32,32,64,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,4096,4096,4096,k2,11,25.933,5299.8,6.42,0.25,252.0,2103.1,2.0,0.0,0.0,2.0,2.0,3.9,1.95,3.78,,40,0,0,0,66.7,1,1024,32,32,128,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,4096,4096,4096,k3,11,22.225,6184.0,7.49,7.969,8033.0,77.0,2.062,1.0,1.0,0.062,,3.34,1.62,3.26,,38,1,8192,0,66.7,1,1024,32,32,128,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,4096,4096,4096,k3c,11,20.519,6698.2,8.11,12.72,12823.0,52.2,2.039,1.0,1.0,0.039,,3.08,1.51,3.21,,38,1,8192,0,66.7,1,1024,32,32,32,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,4096,4096,4096,k4,11,6.626,20743.8,25.12,7.969,8033.0,258.2,1.188,0.125,1.0,0.062,,1.0,0.84,0.97,,54,1,8192,0,75.0,9,128,32,4,128,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,4096,4096,4096,k5,11,4.016,34219.8,41.44,12.72,12823.0,266.9,0.414,0.125,0.25,0.039,,0.6,1.46,0.53,,72,1,20480,0,33.3,4,128,32,4,32,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,4096,4096,4096,k6,11,3.382,40642.8,49.22,12.72,12823.0,316.9,0.104,0.031,0.062,0.01,,0.51,4.91,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,32,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,4096,4096,4096,k0,11,2.417,56866.6,68.87,,,,,,,,,,,,,,,,,,,,,,,,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,4096,4096,4096,k1,5,211.911,648.6,0.79,0.25,252.0,257.4,2.0,0.0,0.0,2.0,33.0,31.83,15.91,3.78,,40,0,0,0,66.7,1,1024,32,32,128,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,8192,8192,8192,k2,5,240.257,4576.4,5.54,0.25,252.0,1816.0,2.0,0.0,0.0,2.0,2.0,4.51,2.26,3.78,,40,0,0,0,66.7,1,1024,32,32,256,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,8192,8192,8192,k3,11,187.138,5875.4,7.12,7.984,8049.0,73.0,2.062,1.0,1.0,0.062,,3.51,1.7,3.26,,38,1,8192,0,66.7,1,1024,32,32,256,256,805.3,1
